,city,state,males,females,lat,lng,state_name,city_state,age1,age2,age3,total
0,Abbeville,LA,1,0,29.9746502,-92.1342921,Louisiana,"Abbeville, Louisiana",0,0,1,1
1,Algiers,LA,2,0,29.9510514,-90.0810887765191,Louisiana,"Algiers, Louisiana",0,0,2,2
2,Ascension Parish,LA,1,0,30.20465845,-90.88963010654159,Louisiana,"Ascension Parish, Louisiana",0,0,1,1
3,Avondale,LA,3,0,29.9129834,-90.2036869,Louisiana,"Avondale, Louisiana",0,1,2,3
4,Baker,LA,1,0,30.5882429,-91.168163,Louisiana,"Baker, Louisiana",0,0,1,1
5,Baton Rouge,LA,46,8,30.4507462,-91.154551,Louisiana,"Baton Rouge, Louisiana",1,4,49,54
6,Bayou Vista,LA,1,1,30.2813059,-89.8175651,Louisiana,"Bayou Vista, Louisiana",0,0,2,2
7,Blanchard,LA,1,0,32.580983,-93.8926813,Louisiana,"Blanchard, Louisiana",0,0,1,1
8,Bossier City,LA,3,2,32.5064115,-93.65183813047341,Louisiana,"Bossier City, Louisiana",0,0,5,5
9,Bossier City ,LA,1,0,32.5064115,-93.65183813047341,Louisiana,"Bossier City , Louisiana",0,0,1,1
10,Caddo Parish,LA,1,0,32.60755,-93.90238917826521,Louisiana,"Caddo Parish, Louisiana",0,0,1,1
11,Calcasieu Parish,LA,1,0,30.26537195,-93.3691697243836,Louisiana,"Calcasieu Parish, Louisiana",0,0,1,1
12,Carencro,LA,2,0,30.317144,-92.0490096,Louisiana,"Carencro, Louisiana",0,0,2,2
13,Chalmette,LA,1,0,29.942703700000006,-89.9634017,Louisiana,"Chalmette, Louisiana",0,0,1,1
14,Charenton,LA,2,0,29.8815936,-91.5251127,Louisiana,"Charenton, Louisiana",0,0,2,2
15,Covington,LA,1,0,30.4754702,-90.1009108,Louisiana,"Covington, Louisiana",0,0,1,1
16,Creston,LA,1,0,31.9759941,-93.049884,Louisiana,"Creston, Louisiana",0,0,1,1
17,Crowley,LA,1,0,30.214092800000003,-92.3745761,Louisiana,"Crowley, Louisiana",0,0,1,1
18,DeRidder,LA,1,0,30.8463055,-93.2890528,Louisiana,"DeRidder, Louisiana",0,0,1,1
19,Denham Springs,LA,2,0,30.4868564,-90.9562125,Louisiana,"Denham Springs, Louisiana",0,0,2,2
20,Donaldsonville,LA,2,0,30.1010324,-90.9928774,Louisiana,"Donaldsonville, Louisiana",0,0,2,2
21,Duson,LA,1,0,30.2357577,-92.1854035,Louisiana,"Duson, Louisiana",0,0,1,1
22,East Baton Rouge,LA,1,0,30.4143987,-91.1774318,Louisiana,"East Baton Rouge, Louisiana",0,0,1,1
23,Ebarb,LA,1,0,31.635777,-93.648603,Louisiana,"Ebarb, Louisiana",0,0,1,1
24,Edgard,LA,1,0,30.0432578,-90.5600869,Louisiana,"Edgard, Louisiana",0,0,1,1
25,Ferriday,LA,1,0,31.6301664,-91.5545649,Louisiana,"Ferriday, Louisiana",0,0,1,1
26,Garyville,LA,1,0,30.056035,-90.6192554,Louisiana,"Garyville, Louisiana",0,0,1,1
27,Geismar,LA,1,0,30.204363300000004,-91.0226013,Louisiana,"Geismar, Louisiana",0,0,1,1
28,Gentilly,LA,4,0,30.0156248,-90.05183559999998,Louisiana,"Gentilly, Louisiana",0,0,4,4
29,Gonzales,LA,1,0,30.2385294,-90.9200987,Louisiana,"Gonzales, Louisiana",0,0,1,1
30,Gray,LA,1,0,29.6977108,-90.786481,Louisiana,"Gray, Louisiana",0,0,1,1
31,Hammond,LA,3,1,30.5043583,-90.4611995,Louisiana,"Hammond, Louisiana",0,0,4,4
32,Harahan,LA,1,0,29.9404826,-90.2031313,Louisiana,"Harahan, Louisiana",0,0,1,1
33,Harvey,LA,10,0,29.9035387,-90.0772944,Louisiana,"Harvey, Louisiana",0,0,10,10
34,Houma,LA,9,1,29.5957696,-90.7195348,Louisiana,"Houma, Louisiana",0,0,9,10
35,Jamestown,LA,1,0,32.3440452,-93.2118341,Louisiana,"Jamestown, Louisiana",0,0,1,1
36,Jeanerette,LA,1,0,29.911037800000006,-91.6634484,Louisiana,"Jeanerette, Louisiana",0,0,1,1
37,Jefferson,LA,2,0,29.8502657,-90.1293894,Louisiana,"Jefferson, Louisiana",0,0,2,2
38,Jena,LA,1,0,31.6832271,-92.1337448,Louisiana,"Jena, Louisiana",0,0,1,1
39,Kenner,LA,7,0,29.9940924,-90.2417434,Louisiana,"Kenner, Louisiana",0,0,7,7
40,Kentwood,LA,1,1,30.9382358,-90.5089843,Louisiana,"Kentwood, Louisiana",0,0,2,2
41,Krotz Springs,LA,1,0,30.5368592,-91.7528931,Louisiana,"Krotz Springs, Louisiana",0,0,1,1
42,LaFayette,LA,2,1,30.2240897,-92.0198427,Louisiana,"LaFayette, Louisiana",0,0,3,3
43,LaPlace,LA,5,1,30.0665907,-90.4800848,Louisiana,"LaPlace, Louisiana",0,1,5,6
44,Lafayette,LA,5,0,30.2240897,-92.0198427,Louisiana,"Lafayette, Louisiana",0,2,3,5
45,Lafayette Parish,LA,1,1,30.208284000000006,-92.11207429099359,Louisiana,"Lafayette Parish, Louisiana",0,0,2,2
46,Lafourche Parish,LA,1,0,29.50317955,-90.36353872460859,Louisiana,"Lafourche Parish, Louisiana",0,0,1,1
47,Lake Charles,LA,5,0,30.226594899999995,-93.2173759,Louisiana,"Lake Charles, Louisiana",0,0,5,5
48,Larose,LA,1,1,29.572438,-90.3817483,Louisiana,"Larose, Louisiana",0,0,2,2
49,Livingston Parish,LA,1,0,30.412795000000006,-90.7410590657223,Louisiana,"Livingston Parish, Louisiana",0,0,1,1
50,Loranger,LA,1,1,30.6357439,-90.3981441,Louisiana,"Loranger, Louisiana",0,0,2,2
51,Luling,LA,1,0,29.9321498,-90.3664695,Louisiana,"Luling, Louisiana",0,0,1,1
52,Mansfield,LA,1,0,32.037662899999994,-93.7001819,Louisiana,"Mansfield, Louisiana",0,0,1,1
53,Marrero,LA,9,1,29.8993723,-90.1003506,Louisiana,"Marrero, Louisiana",0,1,9,10
54,Metairie,LA,6,3,30.00135175,-90.1767313475544,Louisiana,"Metairie, Louisiana",0,1,9,9
55,Monroe,LA,2,0,32.5093109,-92.1193012,Louisiana,"Monroe, Louisiana",0,0,2,2
56,Morgan City,LA,1,0,29.6993748,-91.20677,Louisiana,"Morgan City, Louisiana",0,0,1,1
57,Nairn,LA,1,0,29.4279955,-89.6108947,Louisiana,"Nairn, Louisiana",0,0,1,1
58,New Orleans,LA,146,17,29.949932300000004,-90.0701156,Louisiana,"New Orleans, Louisiana",4,8,143,163
59,New Orleans ,LA,1,0,29.949932300000004,-90.0701156,Louisiana,"New Orleans , Louisiana",0,0,1,1
60,Patterson,LA,1,1,29.6932642,-91.3020502,Louisiana,"Patterson, Louisiana",0,0,2,2
61,Port Allen,LA,2,0,30.452135100000003,-91.2101081,Louisiana,"Port Allen, Louisiana",0,0,2,2
62,Prairieville,LA,2,0,30.3029721,-90.9720451,Louisiana,"Prairieville, Louisiana",0,1,1,2
63,Ragley,LA,1,0,30.512699,-93.2323813,Louisiana,"Ragley, Louisiana",0,0,1,1
64,Reserve,LA,5,0,30.0538131,-90.5517534,Louisiana,"Reserve, Louisiana",0,0,5,5
65,River Ridge,LA,3,0,29.9602043,-90.2156316,Louisiana,"River Ridge, Louisiana",0,1,2,3
66,Ruston,LA,1,0,32.5269104,-92.6463257,Louisiana,"Ruston, Louisiana",0,0,1,1
67,Shreveport,LA,13,0,32.5221828,-93.7651944,Louisiana,"Shreveport, Louisiana",0,1,12,13
68,Slidell,LA,6,0,30.2751945,-89.7811745,Louisiana,"Slidell, Louisiana",0,0,6,6
69,Sorrento,LA,1,0,30.1843642,-90.8592632,Louisiana,"Sorrento, Louisiana",0,0,1,1
70,St. Bernard,LA,1,0,29.877982300000006,-89.5969002,Louisiana,"St. Bernard, Louisiana",0,0,1,1
71,St. Joseph,LA,2,0,31.918492600000004,-91.23344509999998,Louisiana,"St. Joseph, Louisiana",0,0,2,2
72,St. Rose,LA,3,0,29.9468716,-90.3231349,Louisiana,"St. Rose, Louisiana",0,0,3,3
73,St. Tammany Parish,LA,1,0,30.4256963,-89.96205483993108,Louisiana,"St. Tammany Parish, Louisiana",0,0,1,1
74,Terrebonne,LA,1,0,29.425775800000004,-90.5674867,Louisiana,"Terrebonne, Louisiana",0,0,1,1
75,Terrytown,LA,1,0,29.910205,-90.0325709,Louisiana,"Terrytown, Louisiana",0,0,1,1
76,Thibodaux,LA,2,0,29.795763300000004,-90.822871,Louisiana,"Thibodaux, Louisiana",0,0,2,2
77,Varnado,LA,2,0,30.8937963,-89.8295203,Louisiana,"Varnado, Louisiana",0,0,2,2
78,Ville Platte,LA,1,0,30.6879749,-92.2715157,Louisiana,"Ville Platte, Louisiana",0,0,0,1
79,Violet,LA,1,0,29.8957605,-89.8978439,Louisiana,"Violet, Louisiana",0,0,1,1
80,Waggaman,LA,1,0,29.918538800000004,-90.2109093,Louisiana,"Waggaman, Louisiana",0,0,1,1
81,West Monroe,LA,1,1,32.5184775,-92.1476353,Louisiana,"West Monroe, Louisiana",0,0,2,2
82,Winnfield,LA,1,0,31.9254413,-92.6395932,Louisiana,"Winnfield, Louisiana",0,0,1,1
83,Winnsboro,LA,1,0,32.1632079,-91.720681,Louisiana,"Winnsboro, Louisiana",0,0,1,1
84,Bridge City,LA,0,1,29.9332605,-90.1700748,Louisiana,"Bridge City, Louisiana",0,0,1,1
85,Franklinton,LA,0,1,30.8471283,-90.153141,Louisiana,"Franklinton, Louisiana",0,0,1,1
86,Jonesville,LA,0,1,31.626559499999995,-91.8181828,Louisiana,"Jonesville, Louisiana",0,0,1,1
87,Longville,LA,0,1,30.6051979,-93.23182690000002,Louisiana,"Longville, Louisiana",0,0,1,1
88,Many,LA,0,1,31.5687848,-93.4840645,Louisiana,"Many, Louisiana",0,0,1,1
