,state,name,males,females,total,population,rate,ratem,ratef,age1,age2,age3
0,AK,Alaska,25,8,33,738068,4.471132741156642,6.774443547207032,2.16782193510625,3,1,29
1,AL,Alabama,228,42,270,4888949,5.5226593691200305,9.32715804562494,1.7181606926151205,5,12,242
2,AR,Arkansas,110,23,133,3020327,4.403496707475714,7.283979516125242,1.5230138988261868,7,7,119
3,AZ,Arizona,208,40,248,7123898,3.4812401862014304,5.839499667176592,1.122980705226268,4,14,227
4,CA,California,1281,160,1441,39776830,3.622712016015354,6.440935589889892,0.8044884421408142,13,80,1343
5,CO,Colorado,106,39,145,5684203,2.5509293035452814,3.7296345679420666,1.3722240391484959,5,7,130
6,CT,Connecticut,83,27,110,3588683,3.0651913250627034,4.625652363276443,1.5047302868489638,22,1,84
7,DC,District of Columbia,96,8,104,703608,14.78095757865175,27.28792168366477,2.2739934736387304,0,2,102
8,DE,Delaware,33,8,41,971180,4.221668485759592,6.795856586832513,1.6474803846866697,0,4,37
9,FL,Florida,633,136,769,21312211,3.608260072124849,5.940256503654172,1.2762636405955252,17,31,706
10,GA,Georgia,316,70,386,10545138,3.660454704338625,5.993283350108838,1.3276260585684132,5,20,348
11,HI,Hawaii,7,6,13,1426393,0.9113897782728884,0.9814966842938796,0.8412828722518969,0,0,13
12,IA,Iowa,47,9,56,3160553,1.7718418264145546,2.9741630657672884,0.5695205870618212,1,0,54
13,ID,Idaho,23,5,28,1753860,1.5964786242915627,2.6227863113361387,0.5701709372469866,1,1,27
14,IL,Illinois,552,63,615,12768320,4.816608606300593,8.646399839603017,0.9868173729981704,7,60,545
15,IN,Indiana,296,43,339,6699629,5.059981679582556,8.83631018971349,1.2836531694516218,4,13,316
16,KS,Kansas,90,21,111,2918515,3.803304077587403,6.1675201258174095,1.4390880293573958,4,4,99
17,KY,Kentucky,139,39,178,4472265,3.9800861532131933,6.216089610074537,1.7440826963518483,5,6,165
18,LA,Louisiana,369,51,420,4682509,8.969550298782126,15.760781239288594,2.1783193582756595,5,21,385
19,MA,Massachusetts,87,11,98,6895917,1.421130793772605,2.5232322256778903,0.3190293618673195,0,0,95
20,MD,Maryland,295,35,330,6079602,5.427986897826536,9.704582635508048,1.1513911601450226,3,8,317
21,ME,Maine,21,5,26,1341582,1.9380104980537904,3.1306323430099687,0.7453886530976116,0,0,26
22,MI,Michigan,409,77,486,9991177,4.8642917646239265,8.187223587371138,1.541359941876718,9,30,434
23,MN,Minnesota,91,14,105,5628162,1.8656179406349709,3.2337377637672837,0.497498117502659,1,0,102
24,MO,Missouri,292,59,351,6135888,5.720443397923821,9.517774770334789,1.923112025512852,8,17,322
25,MS,Mississippi,110,29,139,2982785,4.660074393561722,7.375657313550928,1.9444914735725167,5,7,123
26,MT,Montana,31,1,32,1062330,3.0122466653488087,5.8362279141133175,0.18826541658430052,0,0,32
27,NC,North Carolina,359,79,438,10390149,4.2155314615796184,6.910391756653345,1.5206711665058894,5,26,395
28,ND,North Dakota,7,1,8,755238,1.0592687338296007,1.8537202842018008,0.2648171834574002,0,0,7
29,NE,Nebraska,48,6,54,1932549,2.7942370413376323,4.967532517933568,0.620941564741696,1,1,52
30,NH,New Hampshire,13,1,14,1350575,1.0365955241286122,1.925105973381708,0.14808507487551598,1,1,11
31,NJ,New Jersey,252,25,277,9032872,3.0665772746475315,5.579620745207062,0.5535338040880021,2,12,260
32,NM,New Mexico,69,19,88,2090708,4.209100457835336,6.600634808878142,1.817566106792532,5,4,78
33,NV,Nevada,99,22,121,3056824,3.958356778146207,6.477311091511974,1.4394024647804389,3,8,107
34,NY,New York,329,49,378,19862512,1.903082550686439,3.312773328972689,0.4933917724001878,3,15,357
35,OH,Ohio,421,74,495,11694664,4.232699631216425,7.199864827240868,1.2655344351919815,12,27,453
36,OK,Oklahoma,148,35,183,3940521,4.644055950977041,7.511697057318053,1.7764148446360264,2,10,168
37,OR,Oregon,66,19,85,4199563,2.024020118283736,3.1431841836876835,0.9048560528797878,4,3,76
38,PA,Pennsylvania,492,77,569,12823989,4.436996943774671,7.673119495033878,1.2008743925154646,8,19,537
39,RI,Rhode Island,19,6,25,1061712,2.3546875235468754,3.5791250357912507,1.1302500113025,1,1,23
40,SC,South Carolina,176,59,235,5088916,4.61787932832847,6.916993717326047,2.318764939330891,10,4,219
41,SD,South Dakota,16,1,17,877790,1.9366818943027373,3.645518859863977,0.2278449287414985,0,1,16
42,TN,Tennessee,237,48,285,6782564,4.2019507667012075,6.9885075909346375,1.4153939424677748,12,19,236
43,TX,Texas,806,176,982,28704330,3.421086644419152,5.615877465176856,1.2262958236614476,19,44,896
44,UT,Utah,41,13,54,3159345,1.7092150429915058,2.5954746949130283,0.8229553910699845,2,2,49
45,VA,Virginia,234,46,280,8525660,3.2842032171116373,5.489311091458021,1.0790953427652523,3,12,257
46,VT,Vermont,11,4,15,623960,2.404000256426694,3.525867042759152,1.2821334700942368,0,1,13
47,WA,Washington,126,17,143,7530552,1.8989311806093363,3.346368234360509,0.4514941268581639,1,6,131
48,WI,Wisconsin,138,28,166,5818049,2.8531901329810045,4.743858293390104,0.9625219725719052,1,9,155
49,WV,West Virginia,56,9,65,1803077,3.604948651666013,6.211603830562977,0.9982934727690498,2,2,59
50,WY,Wyoming,10,6,16,573720,2.7888168444537405,3.4860210555671762,2.0916126333403047,1,0,15
